WORD	POS	CHUNK	LI	CLASS	FOCUS
today	NN	I-NP	B-IM_date	I-movie	O
or	CC	B-NP	O	B-event	O
otherwise	RB	I-NP	O	I-event	O
a	DT	B-NP	O	I-event	O
live	JJ	I-NP	B-IH	I-event	O
concert	NN	I-NP	I-IH	I-event	B-FOCUS
of	IN	B-PP	O	I-event	O
madonna	VBN	B-NP	B-IM_PerGuest	I-event	O
.	.	O	O	I-event	O

most	RBS	B-NP	O	B-event	O
interesting	JJ	I-NP	O	I-event	O
events	NNS	I-NP	B-IH	I-event	B-FOCUS
in	IN	B-PP	O	I-event	O
turin	NN	B-NP	B-IM_LocCity	I-event	O
this	DT	B-NP	B-IM_date	I-event	O
month	NN	I-NP	I-IM_date	I-event	O
and	CC	O	O	B-hotel	O
hotels	NNS	B-NP	B-IH	I-hotel	B-FOCUS
in	IN	B-PP	O	I-hotel	O
the	DT	B-NP	O	I-hotel	O
surroundings	NNS	I-NP	O	I-hotel	O

flight	NN	B-NP	B-IH	B-transport	B-FOCUS
to	TO	B-VP	O	I-transport	O
reach	VB	I-VP	O	I-transport	O
Chicago	NNP	B-NP	B-IM_LocCity	I-transport	O
from	IN	B-PP	O	I-transport	O
New	NNP	B-NP	B-IM_LocCity	I-transport	O
York	NNP	I-NP	I-IM_LocCity	I-transport	O
and	CC	O	O	B-transport	O
places	NNS	B-VP	B-IH	I-transport	B-FOCUS
where	WRB	B-ADVP	O	I-transport	O
to	TO	B-VP	O	I-transport	O
rent	VB	I-VP	O	I-transport	O
a	DT	B-NP	O	I-transport	O
car	NN	I-NP	O	I-transport	O

give	VB	B-VP	O	B-hotel	O
me	PRP	B-NP	O	I-hotel	O
the	DT	B-NP	O	I-hotel	O
best	JJS	I-NP	O	I-hotel	O
places	NNS	I-NP	B-IH	I-hotel	B-FOCUS
to	TO	B-VP	I-IH	I-hotel	O
sleep	VB	I-VP	I-IH	I-hotel	O
in	IN	B-PP	O	I-hotel	O
Great	NNP	B-NP	B-IM_LocCity	I-hotel	O
Falls	NNPS	I-NP	I-IM_LocCity	I-hotel	O
and	CC	O	O	B-event	O
the	DT	B-NP	O	I-event	O
events	NNS	I-NP	B-IH	I-event	B-FOCUS
hosted	VBD	B-VP	O	I-event	O
nearby	RB	O	O	I-event	O

comfortable	JJ	B-NP	O	B-hotel	O
room	NN	I-NP	B-IH	I-hotel	B-FOCUS
in	IN	B-PP	O	I-hotel	O
Jackson	NNP	B-NP	B-IM_LocCity	I-hotel	O
and	CC	I-NP	O	B-cinema	O
closest	JJS	I-NP	O	I-cinema	O
cinema	NN	I-NP	B-IH	I-cinema	B-FOCUS
with	IN	B-PP	O	I-cinema	O
an	DT	B-NP	O	I-cinema	O
adventure	NN	I-NP	B-IM_MovGenre	I-cinema	O
movie	NN	I-NP	B-IH	I-cinema	O
of	IN	B-PP	O	I-cinema	O
Spielberg	NNP	B-NP	B-IM_PerDirector	I-cinema	O

room	NN	B-NP	B-IH	B-hotel	B-FOCUS
in	IN	B-PP	O	I-hotel	O
Hot	JJ	B-NP	B-IM_LocCity	I-hotel	O
Springs	NNP	I-NP	I-IM_LocCity	I-hotel	O
and	CC	I-NP	O	B-poi	O
best	JJS	I-NP	O	I-poi	O
places	NNS	I-NP	B-IH	I-poi	B-FOCUS
to	TO	B-VP	I-IH	I-poi	O
visit	VB	I-VP	I-IH	I-poi	O
nearby	RB	B-PRT	O	I-poi	O

events	NNS	B-NP	B-IH	B-event	B-FOCUS
of	IN	B-PP	O	I-event	O
this	DT	B-NP	B-IM_date	I-event	O
evening	NN	I-NP	I-IM_date	I-event	O
in	IN	B-PP	O	I-event	O
edimburgh	NN	B-NP	B-IM_LocCity	I-event	O
and	CC	I-NP	O	B-food	O
best	JJS	I-NP	O	I-food	O
dining	VBG	I-NP	B-IH	I-food	O
spots	NNS	I-NP	I-IH	I-food	B-FOCUS

hostels	NNS	B-NP	B-IH	B-hotel	B-FOCUS
or	CC	I-NP	O	B-hotel	O
hotels	NNS	I-NP	B-IH	I-hotel	B-FOCUS
close	RB	B-ADVP	O	I-hotel	O
to	TO	B-PP	O	I-hotel	O
denver	NN	B-NP	B-IM_LocCity	I-hotel	O
and	CC	I-NP	O	B-poi	O
best	JJS	I-NP	O	I-poi	O
places	NNS	I-NP	B-IH	I-poi	B-FOCUS
to	TO	B-VP	I-IH	I-poi	O
see	VB	I-VP	I-IH	I-poi	O
nearby	RB	B-PRT	O	I-poi	O

I	PRP	B-NP	O	B-movie	O
want	VBP	B-VP	O	I-movie	O
to	TO	I-VP	O	I-movie	O
know	VB	I-VP	O	I-movie	O
the	DT	B-NP	O	I-movie	O
best	JJS	I-NP	O	I-movie	O
action	NN	I-NP	B-IM_MovGenre	I-movie	O
movies	NNS	I-NP	B-IH	I-movie	B-FOCUS
with	IN	B-PP	O	I-movie	O
ford	JJ	B-NP	B-IM_PerActor	I-movie	O
harrison	NN	I-NP	I-IM_PerActor	I-movie	O
and	CC	O	O	B-cinema	O
the	DT	B-NP	O	I-cinema	O
best	JJS	I-NP	O	I-cinema	O
theaters	NNS	I-NP	B-IH	I-cinema	B-FOCUS
in	IN	B-PP	O	I-cinema	O
dallas	NNS	B-NP	B-IM_LocCity	I-cinema	O
TX	.	O	B-IM_LocCountry	I-cinema	O

tell	VB	B-VP	O	B-hotel	O
me	PRP	B-NP	O	I-hotel	O
the	DT	B-NP	O	I-hotel	O
cheapest	JJS	I-NP	O	I-hotel	O
hotels	NNS	I-NP	B-IH	I-hotel	B-FOCUS
and	CC	O	O	B-cinema	O
the	DT	B-NP	O	I-cinema	O
closest	JJS	I-NP	O	I-cinema	O
cinemas	NNS	I-NP	B-IH	I-cinema	B-FOCUS
in	IN	B-PP	O	I-cinema	O
little	JJ	B-NP	B-IM_LocCity	I-cinema	O
rock	NN	I-NP	I-IM_LocCity	I-cinema	O

cinemas	NNS	B-NP	B-IH	B-cinema	B-FOCUS
in	IN	B-PP	O	I-cinema	O
memphis	PRP$	B-NP	B-IM_LocCity	I-cinema	O
with	IN	B-PP	O	I-cinema	O
last	JJ	B-NP	O	I-cinema	O
movie	NN	I-NP	B-IH	I-cinema	O
by	IN	B-PP	O	I-cinema	O
nolan	JJ	B-NP	B-IM_PerDirector	I-cinema	O
and	CC	I-NP	O	B-fun	O
nearest	JJS	I-NP	O	I-fun	O
pubs	NNS	I-NP	B-IH	I-fun	B-FOCUS

Best	JJS	B-NP	O	B-hotel	O
place	NN	I-NP	B-IH	I-hotel	B-FOCUS
to	TO	B-VP	I-IH	I-hotel	O
stay	VB	I-VP	I-IH	I-hotel	O
in	IN	B-PP	O	I-hotel	O
St	NNP	B-NP	B-IM_LocCity	I-hotel	O
.	.	I-NP	I-IM_LocCity	I-hotel	O
Louis	NNP	I-NP	I-IM_LocCity	I-hotel	O
and	CC	O	O	B-poi	O
main	JJ	B-NP	O	I-poi	O
attractions	NNS	I-NP	B-IH	I-poi	B-FOCUS
nearby	RB	B-LST	O	I-poi	O

name	NN	B-NP	O	B-cinema	O
the	DT	B-NP	O	I-cinema	O
cinemas	NN	I-NP	B-IH	I-cinema	B-FOCUS
of	IN	B-PP	O	I-cinema	O
New	NNP	B-NP	B-IM_LocCity	I-cinema	O
York	NNP	I-NP	I-IM_LocCity	I-cinema	O
and	CC	O	O	B-movie	O
the	DT	B-NP	O	I-movie	O
movies	NNS	I-NP	B-IH	I-movie	B-FOCUS
with	IN	B-PP	O	I-movie	O
banderas	NNS	B-NP	B-IM_PerActor	I-movie	O
shown	VBN	B-VP	O	I-movie	O
today	NN	B-NP	B-IM_date	I-movie	O

what	WP	B-NP	O	B-event	O
are	VBP	B-VP	O	I-event	O
the	DT	B-NP	O	I-event	O
events	NNS	I-NP	B-IH	I-event	B-FOCUS
about	IN	B-PP	O	I-event	O
cooking	VBG	B-VP	B-IM_type	I-event	O
this	DT	B-NP	B-IM_date	I-event	O
month	NN	I-NP	I-IM_date	I-event	O
in	IN	B-PP	O	I-event	O
naples	NNS	B-NP	B-IM_LocCity	I-event	O
0	0	O	O	I-event	O
FL	NNP	B-NP	B-IM_LocCountry	I-event	O
?	.	O	O	I-event	O

I	PRP	B-NP	O	B-hotel	O
want	VBP	B-VP	O	I-hotel	O
a	DT	B-NP	O	I-hotel	O
room	NN	I-NP	B-IH	I-hotel	B-FOCUS
in	IN	B-PP	O	I-hotel	O
miami	NNS	B-NP	B-IM_LocCity	I-hotel	O
in	IN	B-PP	O	I-hotel	O
the	DT	B-NP	O	I-hotel	O
town	NN	I-NP	B-IM_LocArea	I-hotel	O
center	NN	I-NP	I-IM_LocArea	I-hotel	O
and	CC	O	O	B-event	O
I	PRP	B-NP	O	I-event	O
also	RB	B-ADVP	O	I-event	O
want	VBP	B-VP	O	I-event	O
to	TO	I-VP	O	I-event	O
know	VB	I-VP	O	I-event	O
the	DT	B-NP	O	I-event	O
most	RBS	I-NP	O	I-event	O
beautiful	JJ	I-NP	O	I-event	O
events	NNS	I-NP	B-IH	I-event	B-FOCUS
.	.	O	O	I-event	O

cinemas	NNS	B-NP	B-IH	B-cinema	B-FOCUS
or	CC	I-NP	O	B-cinema	O
theaters	NNS	I-NP	B-IH	I-cinema	B-FOCUS
to	TO	B-VP	O	I-cinema	O
spend	VB	I-VP	O	I-cinema	O
a	DT	B-NP	O	I-cinema	O
lovely	JJ	I-NP	O	I-cinema	O
afternoon	NN	I-NP	O	I-cinema	O
in	IN	B-PP	O	I-cinema	O
havana	NN	B-NP	B-IM_LocCity	I-cinema	O
and	CC	I-NP	O	B-food	O
good	JJ	I-NP	O	I-food	O
restaurants	NNS	I-NP	B-IH	I-food	B-FOCUS

are	VBP	B-VP	O	B-event	O
there	EX	B-NP	O	I-event	O
any	DT	B-NP	O	I-event	O
sport	NN	I-NP	B-IM_type	I-event	O
events	NNS	B-VP	B-IH	I-event	B-FOCUS
this	DT	B-NP	B-IM_date	I-event	O
month	NN	I-NP	I-IM_date	I-event	O
in	IN	B-PP	O	I-event	O
panama	NN	B-NP	B-IM_LocCity	I-event	O
?	.	O	O	I-event	O

tell	VB	B-VP	O	B-movie	O
me	PRP	B-NP	O	I-movie	O
the	DT	B-NP	O	I-movie	O
movies	NNS	I-NP	B-IH	I-movie	B-FOCUS
of	IN	B-PP	O	I-movie	O
last	JJ	B-NP	B-IM_date	I-movie	O
week	NN	I-NP	I-IM_date	I-movie	O
with	IN	B-PP	O	I-movie	O
chris	NN	B-NP	B-IM_PerActor	I-movie	O
bale	NN	I-NP	I-IM_PerActor	I-movie	O
and	CC	O	O	B-cinema	O
the	DT	B-NP	O	I-cinema	O
theaters	NNS	I-NP	B-IH	I-cinema	B-FOCUS
where	WRB	B-ADVP	O	I-cinema	O
they	PRP	B-NP	O	I-cinema	O
were	VBD	B-VP	O	I-cinema	O
shown	VBN	I-VP	O	I-cinema	O

In	IN	B-PP	O	B-hotel	O
which	WDT	B-NP	O	I-hotel	O
hotel	NN	B-NP	B-IH	I-hotel	B-FOCUS
can	MD	B-VP	O	I-hotel	O
I	PRP	I-VP	O	I-hotel	O
sleep	VB	I-VP	O	I-hotel	O
if	IN	B-SBAR	O	I-hotel	O
I	PRP	B-NP	O	I-hotel	O
am	VBP	B-VP	O	I-hotel	O
going	VBG	I-VP	O	I-hotel	O
to	TO	B-PP	O	I-hotel	O
malaga	NN	B-NP	B-IM_LocCity	I-hotel	O
tomorrow	NN	I-NP	B-IM_date	I-hotel	O
?	.	O	O	I-hotel	O

movies	NNS	B-NP	B-IH	B-movie	B-FOCUS
of	IN	B-PP	O	I-movie	O
Johnny	NNP	B-NP	B-IM_PerActor	I-movie	O
Depp	NNP	I-NP	I-IM_PerActor	I-movie	O
and	CC	O	O	I-movie	O
Sean	NNP	B-NP	B-IM_PerActor	I-movie	O
Connery	NNP	I-NP	I-IM_PerActor	I-movie	O
and	CC	O	O	B-cinema	O
cinemas	NNS	B-NP	B-IH	I-cinema	B-FOCUS
in	IN	B-PP	O	I-cinema	O
cordoba	NN	B-NP	B-IM_LocCity	I-cinema	O

what	WP	B-NP	O	B-event	O
are	VBP	B-VP	O	I-event	O
the	DT	B-NP	O	I-event	O
events	NNS	I-NP	B-IH	I-event	B-FOCUS
incoming	NN	I-NP	O	I-event	O
this	DT	B-NP	B-IM_date	I-event	O
week	NN	I-NP	I-IM_date	I-event	O
in	IN	B-PP	O	I-event	O
valladolid	JJ	B-NP	B-IM_LocCity	I-event	O
0	0	I-NP	O	I-event	O
spain	NN	I-NP	B-IM_LocCountry	I-event	O
and	CC	I-NP	O	B-hotel	O
what	WP	B-NP	O	I-hotel	O
are	VBP	B-VP	O	I-hotel	O
the	DT	B-NP	O	I-hotel	O
best	JJS	I-NP	O	I-hotel	O
hotels	NNS	I-NP	B-IH	I-hotel	B-FOCUS
where	WRB	B-ADVP	O	I-hotel	O
I	PRP	B-NP	O	I-hotel	O
can	MD	B-VP	O	I-hotel	O
stay	VB	I-VP	O	I-hotel	O
?	.	O	O	I-hotel	O

please	VB	B-VP	O	B-hotel	O
tell	VB	I-VP	O	I-hotel	O
me	PRP	B-NP	O	I-hotel	O
a	DT	B-NP	O	I-hotel	O
good	JJ	I-NP	O	I-hotel	O
hotel	NN	I-NP	B-IH	I-hotel	B-FOCUS
in	IN	B-PP	O	I-hotel	O
barcelona	NN	B-NP	B-IM_LocCity	I-hotel	O
and	CC	O	O	B-cinema	O
the	DT	B-NP	O	I-cinema	O
closest	JJS	I-NP	O	I-cinema	O
cinema	NN	I-NP	B-IH	I-cinema	B-FOCUS
showing	VBG	B-VP	O	I-cinema	O
Fight	NNP	B-NP	B-IM_MovTitle	I-cinema	O
Club	NNP	I-NP	I-IM_MovTitle	I-cinema	O

name	NN	B-NP	O	B-movie	O
the	DT	B-NP	O	I-movie	O
last	JJ	I-NP	O	I-movie	O
movie	NN	I-NP	B-IH	I-movie	B-FOCUS
with	IN	B-PP	O	I-movie	O
Raul	NNP	B-NP	B-IM_PerActor	I-movie	O
Bova	NNP	I-NP	I-IM_PerActor	I-movie	O
and	CC	O	O	B-cinema	O
the	DT	B-NP	O	I-cinema	O
cinemas	NNS	I-NP	B-IH	I-cinema	B-FOCUS
in	IN	B-PP	O	I-cinema	O
nantes	NNS	B-NP	B-IM_LocCity	I-cinema	O
where	WRB	B-ADVP	O	I-cinema	O
I	PRP	B-NP	O	I-cinema	O
can	MD	B-VP	O	I-cinema	O
go	VB	I-VP	O	I-cinema	O
and	CC	I-VP	O	I-cinema	O
see	VB	I-VP	O	I-cinema	O
it	PRP	B-NP	O	I-cinema	O
tomorrow	RB	I-UCP	B-IM_date	I-cinema	O

Films	NNS	B-NP	B-IH	B-movie	B-FOCUS
out	IN	B-PP	O	I-movie	O
this	DT	B-NP	B-IM_date	I-movie	O
week	NN	I-NP	I-IM_date	I-movie	O
with	IN	B-PP	O	I-movie	O
Penn	NNP	B-NP	B-IM_PerActor	I-movie	O
and	CC	O	O	B-cinema	O
multiplex	JJ	B-NP	B-IM_type	I-cinema	O
cinemas	NNS	I-NP	B-IH	I-cinema	B-FOCUS
of	IN	B-PP	O	I-cinema	O
Florence	NNP	B-NP	B-IM_LocCity	I-cinema	O

tourist	NN	B-NP	B-IH	B-poi	O
spots	NNS	I-NP	I-IH	I-poi	B-FOCUS
in	IN	B-PP	O	I-poi	O
amsterdam	NN	B-NP	B-IM_LocCity	I-poi	O
and	CC	I-NP	O	B-hotel	O
cheapest	JJS	I-NP	O	I-hotel	O
places	NNS	I-NP	B-IH	I-hotel	B-FOCUS
to	TO	B-VP	I-IH	I-hotel	O
sleep	VB	I-VP	I-IH	I-hotel	O
?	.	O	O	I-hotel	O

interesting	JJ	B-NP	O	B-poi	O
places	NNS	I-NP	B-IH	I-poi	B-FOCUS
to	TO	B-VP	I-IH	I-poi	O
visit	VB	I-VP	I-IH	I-poi	O
with	IN	B-PP	O	I-poi	O
low	JJ	B-NP	O	I-poi	O
prices	NNS	I-NP	O	I-poi	O
in	IN	B-PP	O	I-poi	O
the	DT	B-NP	O	I-poi	O
route	NN	I-NP	O	I-poi	O
from	IN	B-PP	O	I-poi	O
Lyon	NNP	B-NP	B-IM_LocCity	I-poi	O
to	TO	B-PP	O	I-poi	O
Turin	NNP	B-NP	B-IM_LocCity	I-poi	O

find	VB	B-VP	O	B-hotel	O
me	PRP	B-NP	O	I-hotel	O
a	DT	B-NP	O	I-hotel	O
room	NN	I-NP	B-IH	I-hotel	B-FOCUS
in	IN	B-PP	O	I-hotel	O
munich	JJ	B-NP	B-IM_LocCity	I-hotel	O
and	CC	O	O	B-event	O
name	VB	B-VP	O	I-event	O
the	DT	B-NP	O	I-event	O
cultural	JJ	I-NP	B-IM_type	I-event	O
events	NNS	I-NP	B-IH	I-event	B-FOCUS
of	IN	B-PP	O	I-event	O
this	DT	B-NP	B-IM_date	I-event	O
week	NN	I-NP	I-IM_date	I-event	O

comfortable	JJ	B-NP	O	B-hotel	O
single	JJ	I-NP	B-IH	I-hotel	O
room	NN	I-NP	I-IH	I-hotel	B-FOCUS
in	IN	B-PP	O	I-hotel	O
marseille	NN	B-NP	B-IM_LocCity	I-hotel	O
and	CC	I-NP	O	B-fun	O
pubs	NNS	I-NP	B-IH	I-fun	B-FOCUS
in	IN	B-PP	O	I-fun	O
the	DT	B-NP	O	I-fun	O
neighborhood	NN	I-NP	O	I-fun	O

sushibars	NNS	B-NP	B-IH	B-food	B-FOCUS
in	IN	B-PP	O	I-food	O
manhattan	NN	B-NP	B-IM_LocRegion	I-food	O
or	CC	O	O	B-food	O
otherwise	RB	B-NP	O	I-food	O
cheap	JJ	I-NP	O	I-food	O
chinese	NN	I-NP	B-IM_type	I-food	O
restaurants	NNS	I-NP	B-IH	I-food	B-FOCUS

places	NNS	B-NP	B-IH	B-poi	B-FOCUS
to	TO	B-VP	O	I-poi	O
play	VB	I-VP	O	I-poi	O
bowling	NN	B-NP	B-IM_service	I-poi	O
and	CC	I-NP	O	B-food	O
takeaways	NNS	I-NP	B-IH	I-food	B-FOCUS
in	IN	B-PP	O	I-food	O
santander	NN	B-NP	B-IM_LocCity	I-food	O

find	VB	B-VP	O	B-food	O
me	PRP	B-NP	O	I-food	O
the	DT	B-NP	O	I-food	O
indian	JJ	I-NP	B-IM_type	I-food	O
takeaways	NNS	I-NP	B-IH	I-food	B-FOCUS
in	IN	B-PP	O	I-food	O
liverpool	NN	B-NP	B-IM_LocCity	I-food	O
and	CC	O	O	B-event	O
then	RB	O	O	I-event	O
a	DT	B-NP	O	I-event	O
nice	JJ	I-NP	O	I-event	O
event	NN	I-NP	B-IH	I-event	B-FOCUS
to	TO	B-VP	O	I-event	O
spend	VB	I-VP	O	I-event	O
the	DT	B-NP	O	I-event	O
night	NN	I-NP	O	I-event	O

live	JJ	B-NP	B-IM_type	B-event	O
music	NN	I-NP	B-IM_type	I-event	O
events	NNS	I-NP	B-IH	I-event	B-FOCUS
and	CC	I-NP	O	B-food	O
close-by	NNS	I-NP	O	I-food	O
pizza	NN	I-NP	B-IH	I-food	O
places	NNS	I-NP	I-IH	I-food	B-FOCUS
in	IN	B-PP	O	I-food	O
southampton	NN	B-NP	B-IM_LocCity	I-food	O
0	0	O	O	I-food	O
UK	.	O	B-IM_LocCountry	I-food	O

find	VB	B-VP	O	B-cinema	O
me	PRP	B-NP	O	I-cinema	O
a	DT	B-NP	O	I-cinema	O
cinema	NN	I-NP	B-IH	I-cinema	B-FOCUS
in	IN	B-PP	O	I-cinema	O
nantes	NNS	B-NP	B-IM_LocCity	I-cinema	O
with	IN	B-PP	O	I-cinema	O
the	DT	B-NP	O	I-cinema	O
last	JJ	I-NP	O	I-cinema	O
movie	NN	I-NP	B-IH	I-cinema	O
with	IN	B-PP	O	I-cinema	O
Liam	NNP	B-NP	B-IM_PerActor	I-cinema	O
Neeson	NNP	I-NP	I-IM_PerActor	I-cinema	O

where	WRB	B-ADVP	O	B-hotel	O
can	MD	O	O	I-hotel	O
I	PRP	B-NP	O	I-hotel	O
find	VB	B-VP	O	I-hotel	O
a	DT	B-NP	O	I-hotel	O
nice	JJ	I-NP	O	I-hotel	O
hotel	NN	I-NP	B-IH	I-hotel	B-FOCUS
in	IN	B-PP	O	I-hotel	O
kilkenny	NN	B-NP	B-IM_LocCity	I-hotel	O
and	CC	O	O	B-cinema	O
what	WP	B-NP	O	I-cinema	O
are	VBP	B-VP	O	I-cinema	O
the	DT	B-NP	O	I-cinema	O
closest	JJS	I-NP	O	I-cinema	O
cinemas	NN	I-NP	B-IH	I-cinema	B-FOCUS
?	.	O	O	I-cinema	O

I	PRP	B-NP	O	B-hotel	O
need	VBP	B-VP	O	I-hotel	O
a	DT	B-NP	O	I-hotel	O
hotel	NN	I-NP	B-IH	I-hotel	B-FOCUS
in	IN	B-PP	O	I-hotel	O
chicago	NN	B-NP	B-IM_LocCity	I-hotel	O
and	CC	O	O	B-fun	O
the	DT	B-NP	O	I-fun	O
closest	JJS	I-NP	O	I-fun	O
pubs	NNS	I-NP	B-IH	I-fun	B-FOCUS
.	.	O	O	I-fun	O

find	VB	B-VP	O	B-hotel	O
me	PRP	B-NP	O	I-hotel	O
a	DT	B-NP	O	I-hotel	O
hotel	NN	I-NP	B-IH	I-hotel	B-FOCUS
in	IN	B-PP	O	I-hotel	O
san	JJ	B-NP	B-IM_LocCity	I-hotel	O
Diego	NNP	I-NP	I-IM_LocCity	I-hotel	O
and	CC	O	O	B-poi	O
the	DT	B-NP	O	I-poi	O
closest	JJS	I-NP	O	I-poi	O
points	NNS	I-NP	B-IH	I-poi	B-FOCUS
of	IN	B-PP	I-IH	I-poi	I-FOCUS
interest	NN	B-NP	I-IH	I-poi	I-FOCUS

what	WP	B-NP	O	B-movie	O
is	VBZ	B-VP	O	I-movie	O
the	DT	B-NP	O	I-movie	O
last	JJ	I-NP	O	I-movie	O
movie	NN	I-NP	B-IH	I-movie	B-FOCUS
directed	VBN	B-VP	O	I-movie	O
by	IN	B-PP	O	I-movie	O
peter	NN	B-NP	B-IM_PerDirector	I-movie	O
jackson	NN	I-NP	I-IM_PerDirector	I-movie	O
with	IN	B-PP	O	I-movie	O
jack	NN	B-NP	B-IM_PerActor	I-movie	O
black	JJ	I-NP	I-IM_PerActor	I-movie	O
?	.	O	O	I-movie	O

tell	VB	B-VP	O	B-movie	O
me	PRP	B-NP	O	I-movie	O
the	DT	B-NP	O	I-movie	O
fantasy	NN	I-NP	B-IM_MovGenre	I-movie	O
movies	NNS	I-NP	B-IH	I-movie	B-FOCUS
with	IN	B-PP	O	I-movie	O
depp	NN	B-NP	B-IM_PerActor	I-movie	O
shown	VBN	I-NP	O	I-movie	O
today	NN	I-NP	B-IM_date	I-movie	O
in	IN	B-PP	O	I-movie	O
the	DT	B-NP	O	I-movie	O
cinemas	NNS	I-NP	B-IH	I-movie	O
of	IN	B-PP	O	I-movie	O
Milan	NNP	B-NP	B-IM_LocCity	I-movie	O

find	VB	B-VP	O	B-poi	O
me	PRP	B-NP	O	I-poi	O
a	DT	B-NP	O	I-poi	O
travel	NN	I-NP	B-IH	I-poi	O
agent	NN	I-NP	I-IH	I-poi	B-FOCUS
in	IN	B-PP	O	I-poi	O
Dublin	NNP	B-NP	B-IM_LocCity	I-poi	O
and	CC	O	O	B-transport	O
the	DT	B-NP	O	I-transport	O
closest	JJS	I-NP	O	I-transport	O
subway	NN	I-NP	B-IH	I-transport	O
station	NN	I-NP	I-IH	I-transport	B-FOCUS
.	.	O	O	I-transport	O

i	PRP	B-NP	O	B-transport	O
'm	VBP	B-VP	O	I-transport	O
looking	VBG	I-VP	O	I-transport	O
for	IN	B-PP	O	I-transport	O
a	DT	B-NP	O	I-transport	O
car	NN	I-NP	B-IH	I-transport	O
sharing	VBG	I-NP	I-IH	I-transport	O
service	NN	I-NP	I-IH	I-transport	B-FOCUS
in	IN	B-PP	O	I-transport	O
Waterford	NNP	B-NP	B-IM_LocCity	I-transport	O
or	CC	O	O	B-transport	O
otherwise	RB	B-ADVP	O	I-transport	O
for	IN	B-PP	O	I-transport	O
a	DT	B-NP	O	I-transport	O
cheap	JJ	I-NP	O	I-transport	O
car	NN	I-NP	B-IH	I-transport	O
rental	NN	I-NP	I-IH	I-transport	B-FOCUS
.	.	O	O	I-transport	O

cool	JJ	B-NP	O	B-poi	O
places	NNS	I-NP	B-IH	I-poi	B-FOCUS
to	TO	B-VP	I-IH	I-poi	O
visit	VB	I-VP	I-IH	I-poi	O
on	IN	B-PP	O	I-poi	O
my	PRP$	B-NP	O	I-poi	O
trip	NN	I-NP	O	I-poi	O
to	TO	B-PP	O	I-poi	O
cork	NN	B-NP	B-IM_LocCity	I-poi	O
0	0	I-NP	O	I-poi	O
ireland	NN	I-NP	B-IM_LocCountry	I-poi	O
?	.	O	O	I-poi	O

cultural	JJ	B-NP	B-IM_type	B-event	O
events	NNS	I-NP	B-IH	I-event	B-FOCUS
of	IN	B-PP	O	I-event	O
this	DT	B-NP	B-IM_date	I-event	O
week	NN	I-NP	I-IM_date	I-event	O
in	IN	B-PP	O	I-event	O
gloucester	NN	B-NP	B-IM_LocCity	I-event	O
and	CC	O	O	B-hotel	O
comfortable	JJ	B-NP	O	I-hotel	O
hotels	NNS	I-NP	B-IH	I-hotel	B-FOCUS
where	WRB	B-ADVP	O	I-hotel	O
i	FW	B-NP	O	I-hotel	O
could	MD	B-VP	O	I-hotel	O
stay	VB	I-VP	O	I-hotel	O

cinemas	NNS	B-NP	B-IH	B-cinema	B-FOCUS
in	IN	B-PP	O	I-cinema	O
cambridge	NN	B-NP	B-IM_LocCity	I-cinema	O
where	WRB	B-ADVP	O	I-cinema	O
avatar	NN	B-NP	B-IM_MovTitle	I-cinema	O
is	VBZ	B-VP	O	I-cinema	O
shown	VBN	I-VP	O	I-cinema	O
today	NN	B-NP	B-IM_date	I-cinema	O
?	.	O	O	I-cinema	O

best	JJS	B-NP	O	B-fun	O
bars	NNS	I-NP	B-IH	I-fun	B-FOCUS
in	IN	B-PP	O	I-fun	O
northampton	NN	B-NP	B-IM_LocCity	I-fun	O
0	0	O	O	I-fun	O
UK	NNP	B-NP	B-IM_LocCountry	I-fun	O
and	CC	O	O	B-transport	O
closest	JJS	B-NP	O	I-transport	O
metro	NN	I-NP	B-IH	I-transport	O
stations	NNS	I-NP	I-IH	I-transport	B-FOCUS
?	.	O	O	I-transport	O

pubs	NNS	B-NP	B-IH	B-fun	B-FOCUS
and	CC	O	O	B-poi	O
must-see	JJ	B-NP	B-IH	I-poi	O
places	NNS	I-NP	I-IH	I-poi	B-FOCUS
in	IN	B-PP	O	I-poi	O
sheffield	NN	B-NP	B-IM_LocCountry	I-poi	O
.	.	O	O	I-poi	O

suggest	VB	B-VP	O	B-cinema	O
me	PRP	B-NP	O	I-cinema	O
some	DT	B-NP	O	I-cinema	O
cinemas	NNS	I-NP	B-IH	I-cinema	B-FOCUS
near	IN	B-PP	O	I-cinema	O
Piazza	NNP	B-NP	B-IM_LocAddress	I-cinema	O
Duomo	NNP	I-NP	I-IM_LocAddress	I-cinema	O
0	0	O	O	I-cinema	O
Milan	NNP	B-NP	B-IM_LocCity	I-cinema	O
and	CC	O	O	B-movie	O
tell	VB	B-VP	O	I-movie	O
me	PRP	B-NP	O	I-movie	O
the	DT	B-NP	O	I-movie	O
movies	NNS	I-NP	B-IH	I-movie	B-FOCUS
with	IN	B-PP	O	I-movie	O
downey	NN	B-NP	B-IM_PerActor	I-movie	O
jr	NN	I-NP	I-IM_PerActor	I-movie	O
.	.	B-VP	I-IM_PerActor	I-movie	O
shown	VBN	I-VP	O	I-movie	O
this	DT	B-NP	B-IM_date	I-movie	O
evening	NN	I-NP	I-IM_date	I-movie	O
.	.	O	O	I-movie	O

